match_id,season,date,competition,match_type,gender,city,venue,team_1,team_2,toss_winner,toss_decision,match_winner,result,win_by_runs,win_by_wickets,method,eliminator,overs,balls_per_over,neutral_venue,player_of_match
1082591,2017,2017-04-05,IPL,T20,male,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,,35.0,,,,20,6,0,Yuvraj Singh
1082592,2017,2017-04-06,IPL,T20,male,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,,7.0,,,20,6,0,SPD Smith
1082593,2017,2017-04-07,IPL,T20,male,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,,10.0,,,20,6,0,CA Lynn
1082594,2017,2017-04-08,IPL,T20,male,Indore,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,,6.0,,,20,6,0,GJ Maxwell
1082595,2017,2017-04-08,IPL,T20,male,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,15.0,,,,20,6,0,KM Jadhav
1082596,2017,2017-04-09,IPL,T20,male,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,,9.0,,,20,6,0,Rashid Khan
1082597,2017,2017-04-09,IPL,T20,male,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,,4.0,,,20,6,0,N Rana
1082598,2017,2017-04-10,IPL,T20,male,Indore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,,8.0,,,20,6,0,AR Patel
1082599,2017,2017-04-11,IPL,T20,male,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,,97.0,,,,20,6,0,SV Samson
1082600,2017,2017-04-12,IPL,T20,male,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,,4.0,,,20,6,0,JJ Bumrah
1082601,2017,2017-04-13,IPL,T20,male,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,,8.0,,,20,6,0,SP Narine
